batch_size,block_1,block_2,block_3,dropout_rate,growth_rate,init_features,lr,out_activation,weight_decay,job_id,objective,timestamp_submit,timestamp_gather
16,3,6,3,0.0,16,32,0.001,relu,0.001,1,-25.84816072943609,0.7441525459289551,222.3285858631134
59,4,4,3,0.246255829166817,5,35,0.003312188698412843,softplus,0.0014206858293331936,2,-13.54254753615875,0.7441909313201904,245.26096868515015
57,5,4,5,0.10047049075133099,7,20,0.002294514774656716,relu,0.00406230151767232,3,-14.619129843204027,222.44033908843994,428.8587963581085
49,4,4,3,0.06675747742222167,9,59,0.0056668372377839575,softplus,0.0008405113940822764,4,-27.757855301300044,245.35229516029358,480.1614010334015
51,4,6,4,0.007262974143668667,14,63,0.00026919977688307997,softplus,0.00025350432937230275,5,-5.017984211176204,428.9402241706848,664.6757533550262
22,3,6,3,0.45690826009341934,26,57,0.007908125744669823,sigmoid,0.0012718207092376936,6,-28.55686061774138,480.24845838546753,706.9956541061401
50,5,4,5,0.25658067754165026,28,15,0.00039365623900392867,relu,0.0013762829478847153,7,-3.374870459518777,664.7568724155426,867.6086132526398
33,3,6,3,0.19214350040313732,17,63,0.00028412175135840754,sigmoid,0.0015080628839734913,8,-28.549844365549635,707.0795247554779,880.5819952487946
34,4,4,5,0.10361070062201269,19,15,0.0005514207439202614,sigmoid,0.0005041252580080694,9,-28.556859825902844,867.6897180080414,1060.6612627506256
36,4,5,3,0.14771444787443597,32,54,0.002743191291884058,softplus,0.0013641875848315616,10,-28.87447414994763,880.6638715267181,1119.1796844005585
62,4,6,4,0.41529729103265667,17,48,0.00012423387059164656,sigmoid,0.0011528811696437692,11,-28.552412084545967,1060.7438943386078,1264.4547774791718
10,5,4,5,0.26674616030060844,29,18,0.00034038279365638304,relu,0.001285711201115947,12,-5.6980299111857935,1119.8559510707855,1397.0948815345764
47,5,6,5,0.34488846791700456,31,12,0.00022579969602699163,relu,0.0002996448044079673,13,-5.361899681599429,1265.0068049430847,1521.0521574020386
12,4,4,5,0.20981295286921803,28,14,0.00016548017196860263,relu,0.0008468326222639715,14,-5.188425117538618,1397.662568807602,1653.7985591888428
39,5,5,4,0.22007348849953995,20,10,0.0001030256949098964,relu,0.001501414467858803,15,-6.539909397454952,1521.9338943958282,1759.991465806961
52,5,6,5,0.3756903163905019,28,61,0.000503749180273981,relu,0.0017042471088352298,16,-3.158184413881628,1654.373604297638,1957.7508232593536
49,4,6,5,0.29621505254158675,32,8,0.0005118187193903153,relu,0.001051256822006431,17,-2.9572204955739028,1760.5603024959564,2044.211757659912
40,4,4,5,0.44142904861887194,26,57,0.00045990577313648526,relu,0.00047856915912713517,18,-5.802077558131897,1958.333161830902,2183.359790086746
47,4,6,5,0.43087632965069944,18,29,0.0005128323192955417,relu,0.0007152202400855413,19,-11.585194797910642,2044.7876963615417,2289.631005525589
52,3,6,4,0.43701746960551846,31,51,0.00042832728309364775,relu,0.0019904068009388085,20,-7.3684894911584395,2184.0681703090668,2446.8593084812164
50,3,6,5,0.07406037017207846,32,10,0.0001396194426667097,relu,0.0016722988470335696,21,-4.244314720812307,2290.214460134506,2586.2027678489685
48,5,6,5,0.3228809034095048,29,11,0.0007853266318961459,softplus,0.0010178833678204957,22,-3.54992674398066,2447.4548664093018,2716.0565009117126
23,3,6,5,0.12116396231199775,32,8,0.0006610104160044839,relu,0.0008069517707668952,23,-2.859549096990884,2586.7917490005493,2859.4835567474365
42,3,5,5,0.3348395986318173,32,51,0.0004921187046347745,softplus,0.0009289122311504751,24,-8.662391787055547,2716.6513097286224,3011.813995361328
